Etablissement,Année,Ville,Académie,Secteur Public/Prive,Taux Brut de Réussite série L,Taux Brut de Réussite série ES,Taux Brut de Réussite série S,Taux Réussite Attendu France série L,Taux Réussite Attendu France série ES,Taux Réussite Attendu France série S
LYCEE JEAN ROSTAND,2017,CHANTILLY,AMIENS,PU,98,83,88,97,94,96
LYCEE SAINT PIERRE,2017,ABBEVILLE,AMIENS,PR,100,88,100,98,97,98
LYCEE LES AUGUSTINS,2017,PONTARLIER,BESANCON,PR,100,97,100,97,94,97
LYCEE VICTOR BERARD (GENERAL ET TECHNO.),2017,MOREZ,BESANCON,PU,,93,100,,93,96
LYCEE STE FAMILLE SAINTONGE,2017,BORDEAUX,BORDEAUX,PR,,,94,,,94
LYCEE JEAN RENOU (GENERAL ET TECHNO.),2017,LA REOLE,BORDEAUX,PU,95,89,92,93,89,95
LYCEE ST JACQUES DE COMPOSTELLE,2017,DAX,BORDEAUX,PR,100,100,100,96,94,97
LYCEE SUD DES LANDES,2017,ST VINCENT DE TYROSSE CEDE,BORDEAUX,PU,91,91,93,94,94,95
LYCEE LE BEAU RAMEAU LESTELLE BETHAR,2017,LESTELLE BETHARRAM,BORDEAUX,PR,,67,67,,81,87
LYCEE GASTON FEBUS,2017,ORTHEZ,BORDEAUX,PU,91,96,92,93,95,94
LYCEE MARIE CURIE,2017,VIRE NORMANDIE,CAEN,PU,93,91,94,93,94,95
LYCEE NOTRE DAME DE LA PROVIDENCE,2017,AVRANCHES,CAEN,PR,100,93,87,,92,94
LYCEE ALEXIS DE TOCQUEVILLE (GENERAL ET TECHNO.),2017,CHERBOURG EN COTENTIN,CAEN,PU,,94,97,,94,96
LYCEE AUGUSTE CHEVALIER,2017,DOMFRONT EN POIRAIE,CAEN,PU,93,94,89,91,89,96
LYCEE CARNOT,2016,ROANNE,LYON,PU,,,98,,,96
LYCEE SAINTE MARIE LA GRAND'GRANGE,2016,ST CHAMOND,LYON,PR,100,100,91,,95,89
LYCEE AMPERE,2016,LYON 02,LYON,PU,95,92,94,97,96,95
LYCEE SAINT MARC,2016,LYON 02,LYON,PR,100,100,99,98,99,97
LYCEE PIERRE BROSSOLETTE,2016,VILLEURBANNE,LYON,PU,90,77,85,87,84,86
LYCEE LOUIS ARAGON (GENERAL ET TECHNO.),2016,HERICOURT,BESANCON,PU,80,96,93,96,93,96
LYCEE MATHIAS (GENERAL ET TECHNO.),2016,CHALON SUR SAONE,DIJON,PU,77,88,84,92,91,89
LYCEE LA PRAT'S,2016,CLUNY,DIJON,PU,,92,90,,95,95
LYCEE L'ASSOMPTION,2016,BRIEY,NANCY-METZ,PR,,89,94,,,91
LYCEE CHARLES DE FOUCAULD,2016,NANCY,NANCY-METZ,PR,,69,71,,87,79
LYCEE HENRI POINCARE,2016,NANCY,NANCY-METZ,PU,95,85,88,96,93,93
LYCEE SAINT DOMINIQUE,2016,NANCY,NANCY-METZ,PR,80,90,92,94,91,93
LYCEE DE LA COMMUNICATION,2016,METZ,NANCY-METZ,PU,96,84,92,95,88,87
LYCEE HELENE BOUCHER,2016,THIONVILLE,NANCY-METZ,PU,93,92,88,92,91,88
LYCEE SCHURE,2016,BARR,STRASBOURG,PU,100,98,97,96,93,94
INSTITUTION NOTRE DAME,2016,STRASBOURG,STRASBOURG,PR,100,100,95,98,97,97
LYCEE LOUIS COUFFIGNAL (GENERAL ET TECHNO.),2016,STRASBOURG,STRASBOURG,PU,,,91,,,94
LYCEE SAINT ANDRE,2016,COLMAR,STRASBOURG,PR,100,100,100,97,97,96
LYCEE LAVOISIER (GENERAL ET TECHNO.),2016,MULHOUSE,STRASBOURG,PU,,91,81,,84,89
LYCEE FREDERIC OZANAM,2016,LILLE,LILLE,PR,,,96,,,94
LYCEE PRIVE AVERROES,2016,LILLE,LILLE,PR,100,94,98,87,88,94
LYCEE HENRI IV,2016,PARIS 05,PARIS,PU,100,100,100,100,100,99
LYCEE SAINT-THOMAS D'AQUIN,2016,PARIS 07,PARIS,PR,100,100,98,98,98,96
LYCEE FENELON SAINTE-MARIE,2016,PARIS 08,PARIS,PR,100,100,100,99,99,99
LYCEE E. NAPOLEON ST PIERRE FOURIER,2016,PARIS 12,PARIS,PR,96,100,98,97,97,95
LYCEE CATHERINE LABOURE (GENERAL ET TECHNO.),2016,PARIS 14,PARIS,PR,,96,,,92,
LYCEE SONIA DELAUNAY (GENERAL ET TECHNO.),2016,CESSON,CRETEIL,PU,92,94,95,93,94,96
LYCEE JEANNE D'ARC SAINT ASPAIS,2016,FONTAINEBLEAU,CRETEIL,PR,100,100,97,95,97,96
LYCEE CLEMENT ADER (GENERAL ET TECHNO.),2016,TOURNAN EN BRIE,CRETEIL,PU,85,80,90,90,88,92
LYCEE CHARLES PEGUY,2016,BOBIGNY,CRETEIL,PR,100,100,100,,99,99
LYCEE PAUL LE ROLLAND (GENERAL ET TECHNO.),2016,DRANCY,CRETEIL,PU,,,60,,,65
LYCEE GUSTAVE EIFFEL,2016,GAGNY,CRETEIL,PU,94,85,84,87,82,82
LYCEE PAUL ROBERT (GENERAL ET TECHNO.),2016,LES LILAS,CRETEIL,PU,91,82,90,89,91,89
LYCEE CONDORCET (GENERAL ET TECHNO.),2016,LIMAY,VERSAILLES,PU,89,98,97,93,93,85
LYCEE CHARLES DE GAULLE,2016,POISSY,VERSAILLES,PU,,92,99,,93,94
LYCEE RENE CASSIN,2016,ARPAJON,VERSAILLES,PU,86,94,93,96,95,95
LYCEE FRANCOIS-JOSEPH TALMA,2016,BRUNOY,VERSAILLES,PU,98,86,89,91,89,92
LYCEE JACQUES PREVERT,2016,BOULOGNE BILLANCOURT,VERSAILLES,PU,97,92,86,93,93,94
LYCEE LUCIE AUBRAC,2016,COURBEVOIE,VERSAILLES,PU,92,96,88,94,92,91
LYCEE MONTALEMBERT,2016,COURBEVOIE,VERSAILLES,PR,100,100,98,97,98,98
LYCEE SAINTE MARIE,2016,NEUILLY SUR SEINE,VERSAILLES,PR,100,100,100,100,100,100
LYCEE JULES VERNE (GENERAL ET TECHNO.),2016,CERGY,VERSAILLES,PU,94,92,91,87,90,89
LYCEE JEAN-JACQUES ROUSSEAU,2016,MONTMORENCY,VERSAILLES,PU,78,83,89,89,90,90
LYCEE SAINT-JOSEPH DE L'APPARITION,2018,GAILLAC,TOULOUSE,PR,100,95,100,93,93,95
LYCEE JEANNE D'ARC,2018,MAZAMET,TOULOUSE,PR,80,100,86,91,94,89
LYCEE PIERRE MARIE THEAS,2018,MONTAUBAN,TOULOUSE,PR,96,89,99,96,94,96
LYCEE RENE CASSIN,2018,ARPAJON,VERSAILLES,PU,96,93,94,95,94,95
LYCEE FRANCOIS TRUFFAUT (GENERAL ET TECHNO.),2018,BONDOUFLE,VERSAILLES,PU,69,80,93,89,90,91
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.),2018,EVRY COURCOURONNES,VERSAILLES,PU,71,88,80,80,83,79
LYCEE L'ESSOURIAU (GENERAL ET TECHNO.),2018,LES ULIS,VERSAILLES,PU,85,90,83,91,91,91
LYCEE CAMILLE CLAUDEL,2018,PALAISEAU,VERSAILLES,PU,88,84,92,95,95,97
LYCEE NOTRE-DAME,2018,BOURG LA REINE,VERSAILLES,PR,100,100,100,99,99,99
LYCEE JULES VERNE (GENERAL ET TECHNO.),2018,CERGY,VERSAILLES,PU,100,93,93,97,92,93
LYCEE MONTESQUIEU,2018,HERBLAY SUR SEINE,VERSAILLES,PU,95,93,91,92,92,95
LYCEE JEANNE D'ALBRET,2018,ST GERMAIN EN LAYE,VERSAILLES,PU,96,96,99,95,97,97
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),2018,ST GERMAIN EN LAYE,VERSAILLES,PU,,,82,,,86
LYCEE NOTRE DAME DU GRANDCHAMP,2018,VERSAILLES,VERSAILLES,PR,100,100,100,99,99,99
LYCEE JEAN-PIERRE VERNANT,2012,PINS JUSTARET,TOULOUSE,PU,100,97,92,91,94,96
LYCEE CLEMENT MAROT,2012,CAHORS CEDEX,TOULOUSE,PU,89,95,89,90,94,96
