Etablissement,Année,Ville,Académie,Secteur Public/Prive,Taux Brut de Réussite série L,Taux Brut de Réussite série ES,Taux Brut de Réussite série S,Taux Réussite Attendu France série L,Taux Réussite Attendu France série ES,Taux Réussite Attendu France série S
LYCEE LAPEROUSE,2012,ALBI CEDEX,TOULOUSE,PU,97,97,99,96,96,97
LYCEE NOTRE DAME DE SION (GENERAL ET TECHNO.),2012,EVRY,VERSAILLES,PR,100,95,100,96,97,97
LYCEE EMMANUEL MOUNIER,2012,CHATENAY MALABRY,VERSAILLES,PU,88,97,90,92,88,94
LYCEE JEANNE D ARC,2012,COLOMBES,VERSAILLES,PR,,100,97,,98,96
LYCEE RABELAIS,2012,MEUDON,VERSAILLES,PU,93,92,92,94,94,93
LYCEE SAINT DOMINIQUE,2012,NEUILLY SUR SEINE CEDEX,VERSAILLES,PR,94,100,99,97,98,99
LYCEE JEAN MONNET (GENERAL ET TECHNO.),2012,FRANCONVILLE CEDEX,VERSAILLES,PU,91,73,86,80,88,81
LYCEE GERARD DE NERVAL,2012,LUZARCHES,VERSAILLES,PU,81,85,84,88,92,89
LYCEE EDMOND ROSTAND,2012,ST OUEN L AUMONE,VERSAILLES,PU,95,94,85,90,92,87
LYCEE NOTRE DAME,2012,ST GERMAIN EN LAYE,VERSAILLES,PR,100,100,100,97,99,98
LYCEE ALEXANDRA DAVID NEEL,2013,DIGNE LES BAINS,AIX-MARSEILLE,PU,78,92,70,88,94,85
LYCEE ST JOSEPH DE LA MADELEINE,2013,MARSEILLE 04,AIX-MARSEILLE,PR,97,100,100,92,98,95
LYCEE MARCEL PAGNOL,2013,MARSEILLE 10,AIX-MARSEILLE,PU,100,89,83,88,88,85
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),2013,SOISSONS,AMIENS,PU,,79,80,,89,90
LYCEE ARNAUD DANIEL,2013,RIBERAC,BORDEAUX,PU,100,90,95,93,90,93
LYCEE ANATOLE DE MONZIE,2013,BAZAS,BORDEAUX,PU,100,100,100,93,92,93
LYCEE RECLUS,2013,STE FOY LA GRANDE,BORDEAUX,PU,91,85,80,91,83,91
LYCEE ALFRED KASTLER (GENERAL ET TECHNO.),2013,TALENCE,BORDEAUX,PU,,76,91,,91,91
LYCEE VICTOR LOUIS (GENERAL ET TECHNO.),2013,TALENCE,BORDEAUX,PU,96,93,94,96,95,96
LYCEE TERTIAIRE ET  SOCIAL G.LEYGUES (GENERAL ET TECHNO.),2013,VILLENEUVE SUR LOT,BORDEAUX,PU,100,97,96,95,95,95
LYCEE SAINT-JOHN PERSE,2013,PAU,BORDEAUX,PU,90,97,96,92,96,96
LYCEE DE NAVARRE (GENERAL ET TECHNO.),2013,ST JEAN PIED DE PORT,BORDEAUX,PU,100,100,100,96,96,98
LYCEE ALAIN CHARTIER,2013,BAYEUX,CAEN,PU,91,,88,93,,94
LYCEE AUGUSTIN FRESNEL,2013,CAEN,CAEN,PU,94,93,94,94,89,93
LYCEE LE VERRIER,2013,ST LO,CAEN,PU,100,95,96,95,96,94
LYCEE NAPOLEON,2013,L AIGLE,CAEN,PU,100,100,98,91,95,96
LYCEE SAINT JULIEN (GENERAL ET TECHNO.),2013,BRIOUDE,CLERMONT-FERRAND,PR,100,100,100,96,90,90
LYCEE ETIENNE BEZOUT (GENERAL ET TECHNO.),2013,NEMOURS,CRETEIL,PU,89,93,96,91,92,92
LYCEE JEANNE D'ARC,2012,CESSY,LYON,PR,100,96,87,94,94,96
LYCEE DE LA COTIERE,2012,LA BOISSE,LYON,PU,85,97,85,90,95,93
LYCEE CLAUDE LEBOIS,2012,ST CHAMOND CEDEX,LYON,PU,91,74,91,88,82,86
LYCEE CHEVREUL,2012,LYON 07,LYON,PR,100,100,100,98,97,98
LYCEE NOTRE DAME DES MINIMES,2012,LYON CEDEX 0 05,LYON,PR,87,100,100,82,95,95
LYCEE SAINT JUST,2012,LYON CEDEX 0 05,LYON,PU,92,94,97,95,97,97
LYCEE NOTRE DAME DE BEL AIR,2012,TARARE,LYON,PR,83,86,93,89,95,88
LYCEE FRANCOIS MANSART (GENERAL ET TECHNO.),2012,THIZY,LYON,PU,100,100,98,89,97,92
LYCEE BELLEVUE,2012,FORT DE FRANCE CEDEX,MARTINIQUE,PU,88,93,91,91,94,94
LYCEE SAINT LOUIS (GENERAL ET TECHNO.),2012,CARCASSONNE,MONTPELLIER,PR,83,83,94,85,79,96
LYCEE GEORGES POMPIDOU (GENERAL ET TECHNO.),2012,CASTELNAU LE LEZ CEDEX,MONTPELLIER,PU,94,95,96,92,93,96
LYCEE SAINT DOMINIQUE,2012,NANCY CEDEX,NANCY-METZ,PR,100,96,96,92,87,92
LYCEE JEAN DE PANGE,2012,SARREGUEMINES CEDEX,NANCY-METZ,PU,90,98,89,89,91,93
LYCEE SAINT PIERRE CHANEL,2012,THIONVILLE CEDEX,NANCY-METZ,PR,100,100,100,97,97,98
LYCEE ST LOUIS,2012,SAUMUR,NANTES,PR,100,100,94,97,97,95
LYCEE ST MICHEL,2012,CHATEAU GONTIER CEDEX,NANTES,PR,94,100,100,94,92,96
LYCEE AMIRAL DE GRASSE,2012,GRASSE,NICE,PU,94,84,88,90,91,91
LYCEE THIERRY MAULNIER,2012,NICE,NICE,PU,90,94,93,91,90,93
LYCEE LORGUES,2012,LORGUES,NICE,PU,91,85,91,91,86,89
LYCEE EDOUARD BRANLY,2012,DREUX,ORLEANS-TOURS,PU,91,100,88,91,86,94
LYCEE SOPHIE GERMAIN,2012,PARIS 04,PARIS,PU,100,96,95,97,96,95
LYCEE CONDORCET,2012,PARIS 09,PARIS,PU,100,98,100,99,99,99
LYCEE BLOMET,2012,PARIS 15,PARIS,PR,100,100,100,98,99,99
LYCEE STE URSULE-LOUISE BETTIGNIES,2012,PARIS 17,PARIS,PR,100,97,100,98,98,98
LYCEE JEAN HYPPOLITE,2012,JONZAC CEDEX,POITIERS,PU,78,92,79,76,90,90
LYCEE LA VERSOIE,2013,THONON LES BAINS,GRENOBLE,PU,97,97,96,94,95,95
LYCEE LA PLEIADE,2013,PONT DE CHERUY,GRENOBLE,PU,88,97,80,86,90,91
LYCEE EDOUARD HERRIOT (GENERAL ET TECHNO.),2013,VOIRON,GRENOBLE,PU,96,99,90,95,95,95
LYCEE BRAS PANON (GENERAL ET TECHNO.),2013,BRAS PANON,LA REUNION,PU,97,92,95,94,93,94
LYCEE AMIRAL PIERRE BOUVET,2013,ST BENOIT,LA REUNION,PU,85,84,88,93,84,93
LYCEE LE VERGER,2013,STE MARIE,LA REUNION,PU,84,86,92,87,85,91
LYCEE FENELON,2013,CAMBRAI,LILLE,PU,93,93,83,94,93,94
LYCEE AUGUSTE ANGELLIER,2013,DUNKERQUE,LILLE,PU,96,98,95,95,96,96
LYCEE NOTRE-DAME DES DUNES,2013,DUNKERQUE,LILLE,PR,100,97,94,96,96,97
LYCEE ANDRE LURCAT (GENERAL ET TECHNO.),2013,MAUBEUGE,LILLE,PU,,81,85,,86,87
LYCEE SAINT REMI,2013,ROUBAIX,LILLE,PR,100,98,92,94,95,94
LYCEE SAINT PAUL,2013,LENS,LILLE,PR,,99,100,,97,97
LYCEE SAINT JOSEPH,2013,ST MARTIN BOULOGNE,LILLE,PR,,,100,,,95
LYCEE SUZANNE VALADON (GENERAL ET TECHNO.),2013,LIMOGES,LIMOGES,PU,87,90,,85,79,
LYCEE JEAN PUY,2013,ROANNE,LYON,PU,83,76,90,92,92,94
LYCEE SAINT LOUIS,2013,ST ETIENNE,LYON,PR,100,100,90,93,95,94
LYCEE JEAN PERRIN,2013,LYON 09,LYON,PU,74,92,89,92,95,95
LYCEE JACQUES BREL,2013,VENISSIEUX,LYON,PU,100,67,83,,,
LYCEE NOTRE DAME DE MONGRE,2013,VILLEFRANCHE S SAONE CED,LYON,PR,100,98,98,99,97,96
LYCEE DU NORD CARAIBE (GENERAL ET TECHNO.),2013,BELLEFONTAINE,MARTINIQUE,PU,100,89,100,87,85,93
LYCEE ANDRE CHAMSON (GENERAL ET TECHNO.),2013,LE VIGAN,MONTPELLIER,PU,77,95,94,92,91,91
LYCEE JEAN LURCAT (GENERAL ET TECHNO.),2013,PERPIGNAN,MONTPELLIER,PU,89,79,87,90,91,92
LYCEE JACQUES CALLOT,2013,VANDOEUVRE LES NANCY,NANCY-METZ,PU,88,83,82,86,91,89
LYCEE JEAN DE PANGE,2013,SARREGUEMINES,NANCY-METZ,PU,86,95,98,94,93,94
LYCEE FILIERE BOIS ANDRE MALRAUX,2013,REMIREMONT,NANCY-METZ,PU,86,98,95,95,97,96
LYCEE BLANCHE DE CASTILLE,2013,NANTES,NANTES,PR,100,100,100,98,98,98
LYCEE VIAL,2013,NANTES,NANTES,PU,,94,,,93,
LYCEE RAOUL VADEPIED (GENERAL ET TECHNO.),2013,EVRON,NANTES,PU,100,100,97,93,97,93
LYCEE PERSEIGNE (GENERAL ET TECHNO.),2013,MAMERS,NANTES,PU,93,91,88,88,92,97
LYCEE NOTRE DAME,2013,FONTENAY LE COMTE,NANTES,PR,100,95,100,96,97,97
LYCEE SAVARY DE MAULEON,2013,LES SABLES D OLONNE CEDE,NANTES,PU,100,89,95,90,94,94
LYCEE DON BOSCO,2013,NICE,NICE,PR,,100,97,,91,95
LYCEE ROUVIERE (GENERAL ET TECHNO.),2013,TOULON,NICE,PU,,,94,,,96
LYCEE HENRI BRISSON (GENERAL ET TECHNO.),2013,VIERZON,ORLEANS-TOURS,PU,,,100,,,93
LYCEE EMILE ZOLA,2013,CHATEAUDUN,ORLEANS-TOURS,PU,100,98,95,98,95,94
LYCEE PASTEUR (GENERAL ET TECHNO.),2013,LE BLANC,ORLEANS-TOURS,PU,88,90,100,95,94,96
LYCEE AUGUSTIN THIERRY (GENERAL ET TECHNO.),2013,BLOIS,ORLEANS-TOURS,PU,88,92,79,92,94,95
LYCEE SAINT PAUL-BOURDON BLANC,2013,ORLEANS,ORLEANS-TOURS,PR,90,94,64,90,93,83
LYCEE SAINT-THOMAS D'AQUIN,2013,PARIS 07,PARIS,PR,100,98,100,97,97,97
LYCEE CATHERINE LABOURE (GENERAL ET TECHNO.),2013,PARIS 14,PARIS,PR,,93,,,91,
LYCEE LOUIS AUDOUIN DUBREUIL (GENERAL ET TECHNO.),2013,ST JEAN D ANGELY,POITIERS,PU,95,87,97,91,92,92
LYCEE JEAN MACE,2013,NIORT,POITIERS,PU,94,86,96,95,96,97
LYCEE JEAN MOULIN,2013,MONTMORILLON,POITIERS,PU,95,88,89,93,94,92
LYCEE AUGUSTE BLANQUI (GENERAL ET TECHNO.),2012,ST OUEN CEDEX,CRETEIL,PU,48,74,59,73,75,79
LYCEE LOUISE MICHEL,2012,CHAMPIGNY SUR MARNE,CRETEIL,PU,81,90,86,91,93,88
LYCEE FRANCOIS ARAGO (GENERAL ET TECHNO.),2012,VILLENEUVE ST GEORGES,CRETEIL,PU,67,89,81,84,82,69
LYCEE JULES RENARD,2012,NEVERS CEDEX,DIJON,PU,92,,90,92,,95
LYCEE SAINT CYR,2012,NEVERS CEDEX,DIJON,PR,90,89,86,93,93,96
LYCEE CAMILLE CLAUDEL,2012,DIGOIN,DIJON,PU,81,84,87,92,93,95
LYCEE JEANNE D'ARC,2012,PARAY LE MONIAL,DIJON,PR,100,100,100,94,91,96
LYCEE ARISTIDES BERGES,2012,SEYSSINET PARISET CEDEX,GRENOBLE,PU,89,93,95,90,90,95
LYCEE GALILEE,2012,VIENNE CEDEX,GRENOBLE,PU,,,100,,,94
LYCEE RENE PERRIN,2012,UGINE,GRENOBLE,PU,,,87,,,95
LYCEE NORD BASSE TERRE,2012,STE ROSE,GUADELOUPE,PU,96,88,89,84,87,89
LYCEE FELIX EBOUE,2012,CAYENNE CEDEX,GUYANE,PU,91,73,79,82,65,70
LYCEE SARDA GARRIGA,2012,ST ANDRE,LA REUNION,PU,100,94,92,93,93,95
LYCEE LE VERGER,2012,STE MARIE,LA REUNION,PU,75,83,83,81,86,93
LYCEE ALFRED KASTLER,2012,DENAIN CEDEX,LILLE,PU,,80,85,,86,87
LYCEE JEAN COCTEAU,2012,MIRAMAS CEDEX,AIX-MARSEILLE,PU,90,85,80,77,84,84
LYCEE DOMINIQUE VILLARS,2012,GAP CEDEX,AIX-MARSEILLE,PU,97,93,95,93,90,90
LYCEE ALCIDE DUSOLIER (GENERAL ET TECHNO.),2012,NONTRON,BORDEAUX,PU,100,86,93,83,86,93
LYCEE GAY LUSSAC,2012,CHAUNY CEDEX,AMIENS,PU,90,87,78,90,87,93
LYCEE FREDERIC MISTRAL,2012,AVIGNON CEDEX,AIX-MARSEILLE,PU,87,86,88,91,89,88
LYCEE EUROPEEN,2012,VILLERS COTTERETS,AMIENS,PU,91,92,90,90,88,92
LYCEE LOUIS LIARD (GENERAL ET TECHNO.),2012,FALAISE,CAEN,PU,91,85,89,92,88,91
LYCEE JULES SUPERVIELLE,2012,OLORON STE MARIE CEDEX,BORDEAUX,PU,100,98,95,86,94,95
LYCEE DE LA CHIMIE ALBERT CAMUS,2012,MOURENX,BORDEAUX,PU,100,89,88,82,83,93
LYCEE GASTON CRAMPE (GENERAL ET TECHNO.),2012,AIRE SUR L ADOUR CEDEX,BORDEAUX,PU,92,89,90,86,95,92
LYCEE STE MARIE GRAND LEBRUN,2012,BORDEAUX CEDEX,BORDEAUX,PR,100,99,96,97,99,98
LYCEE NAPOLEON,2012,L AIGLE CEDEX,CAEN,PU,87,100,92,85,96,92
LYCEE PIERRE ET MARIE CURIE,2012,ST LO CEDEX,CAEN,PU,,,86,,,91
LYCEE PAUL GUERIN,2012,NIORT CEDEX,POITIERS,PU,73,93,89,88,95,92
LYCEE VICTOR HUGO,2012,POITIERS CEDEX,POITIERS,PU,88,97,93,94,95,95
LYCEE PIERRE BAYLE,2012,SEDAN,REIMS,PU,60,73,78,76,84,86
LYCEE GODART ROGER (GENERAL ET TECHNO.),2012,EPERNAY CEDEX,REIMS,PU,,85,93,,90,90
LYCEE ST JOSEPH,2012,LAMBALLE CEDEX,RENNES,PR,100,100,100,94,97,96
LYCEE DE L'HARTELOIRE,2012,BREST CEDEX,RENNES,PU,88,93,97,89,90,96
LYCEE JULES LESVEN,2012,BREST CEDEX,RENNES,PU,,96,,,91,
LYCEE STE THERESE,2012,QUIMPER CEDEX,RENNES,PR,100,93,97,91,95,95
INSTITUTION ST MALO-PROVIDENCE,2012,ST MALO CEDEX,RENNES,PR,97,98,100,93,95,96
LYCEE ST LOUIS,2012,LORIENT CEDEX,RENNES,PR,93,84,89,83,93,93
LYCEE REY,2012,BOIS GUILLAUME,ROUEN,PR,92,88,90,82,90,93
LYCEE VAL DE SEINE,2012,LE GRAND QUEVILLY CEDEX,ROUEN,PU,52,76,84,77,80,81
LYCEE ROBERT SCHUMAN,2012,LE HAVRE,ROUEN,PU,60,53,76,80,76,82
LYCEE PORTE OCEANE (GENERAL ET TECHNO.),2012,LE HAVRE CEDEX,ROUEN,PU,56,52,73,73,70,80
LYCEE STANISLAS,2012,WISSEMBOURG CEDEX,STRASBOURG,PU,96,99,97,93,93,96
LYCEE ROBERT SCHUMAN (GENERAL ET TECHNO.),2013,CHARENTON LE PONT,CRETEIL,PU,89,74,82,90,91,92
LYCEE GUILLAUME BUDE (GENERAL ET TECHNO.),2013,LIMEIL BREVANNES,CRETEIL,PU,96,86,84,92,95,93
LYCEE GUILLAUME APOLLINAIRE,2013,THIAIS,CRETEIL,PU,91,86,89,94,89,90
CLOS MAIRE (GENERAL ET TECHNO.),2013,BEAUNE,DIJON,PU,81,83,88,91,93,95
LYCEE DESIRE NISARD (GENERAL ET TECHNO.),2013,CHATILLON SUR SEINE CEDE,DIJON,PU,94,96,84,92,86,92
LYCEE JACQUES AMYOT,2013,AUXERRE,DIJON,PU,96,97,93,95,95,97
LYCEE CHEVALIER D'EON (GENERAL ET TECHNO.),2013,TONNERRE,DIJON,PU,69,95,85,83,90,93
LYCEE FRANCOIS JEAN ARMORIN (GENERAL ET TECHNO.),2013,CREST,GRENOBLE,PU,88,93,95,87,91,95
LYCEE DU DAUPHINE (GENERAL ET TECHNO.),2013,ROMANS-SUR-ISERE,GRENOBLE,PU,,,98,,,92
LYCEE URUGUAY FRANCE,2012,AVON CEDEX,CRETEIL,PU,60,91,95,74,91,93
LYCEE ALBERT LONDRES,2012,CUSSET CEDEX,CLERMONT-FERRAND,PU,98,79,83,90,93,94
LYCEE LAETITIA BONAPARTE,2012,AJACCIO CEDEX,CORSE,PU,93,94,96,87,86,94
LYCEE CHARLES ET ADRIEN DUPUY,2012,LE PUY EN VELAY CEDEX,CLERMONT-FERRAND,PU,91,,86,93,,93
LYCEE ST-JACQUES DE COMPOSTELLE,2012,LE PUY EN VELAY,CLERMONT-FERRAND,PR,88,100,97,94,93,95
LYCEE FREDERIC JOLIOT CURIE,2012,DAMMARIE LES LYS CEDEX,CRETEIL,PU,76,90,93,94,94,95
LYCEE HUGUES LIBERGIER,2013,REIMS,REIMS,PU,,76,87,,88,91
LYCEE BEAUMONT,2013,REDON,RENNES,PU,93,88,99,96,93,93
INSTITUTION ST MALO-PROVIDENCE,2013,ST MALO,RENNES,PR,100,97,99,97,97,97
LYCEE SAINT-OUEN,2013,ST GERMAIN VILLAGE,ROUEN,PR,78,93,83,80,96,93
LYCEE GUY DE MAUPASSANT,2013,FECAMP,ROUEN,PU,88,87,94,95,91,95
LYCEE LA PROVIDENCE,2013,LE MESNIL ESNARD,ROUEN,PR,100,97,97,95,96,97
LYCEE MARIE CURIE,2013,STRASBOURG,STRASBOURG,PU,95,94,91,92,91,95
SEMINAIRE DE  JEUNES,2013,WALBOURG,STRASBOURG,PR,100,97,100,92,91,94
LYCEE GASTON MONNERVILLE (GENERAL ET TECHNO.),2013,CAHORS,TOULOUSE,PU,,,88,,,97
LYCEE JEAN LURCAT,2013,ST CERE,TOULOUSE,PU,91,98,90,96,95,94
LYCEE VICTOR HUGO,2013,GAILLAC,TOULOUSE,PU,90,94,96,94,96,95
LYCEE PARC DES LOGES,2013,EVRY,VERSAILLES,PU,96,87,93,90,90,90
LYCEE JEAN BAPTISTE COROT,2013,SAVIGNY SUR ORGE,VERSAILLES,PU,92,87,90,94,95,95
LYCEE CONDORCET (GENERAL ET TECHNO.),2013,LIMAY,VERSAILLES,PU,90,100,91,93,92,91
LYCEE SACRE COEUR (LE),2014,AIX EN PROVENCE,AIX-MARSEILLE,PR,100,96,98,95,97,97
LYCEE CHEVREUL BLANCARDE,2014,MARSEILLE 04,AIX-MARSEILLE,PR,100,95,100,97,98,99
LYCEE ST JOSEPH DE LA MADELEINE,2014,MARSEILLE 04,AIX-MARSEILLE,PR,96,100,98,96,96,97
LYCEE MARSEILLEVEYRE,2014,MARSEILLE 08,AIX-MARSEILLE,PU,78,88,89,88,85,93
LYCEE LACORDAIRE,2014,MARSEILLE 13,AIX-MARSEILLE,PR,100,100,100,99,99,99
LYCEE FELIX FAURE,2014,BEAUVAIS,AMIENS,PU,84,84,89,87,88,94
LYCEE MIREILLE GRENET,2014,COMPIEGNE,AMIENS,PU,89,91,76,91,81,86
LYCEE MONTALEMBERT,2014,DOULLENS,AMIENS,PR,75,94,97,91,93,93
LYCEE LUMIERE (GENERAL ET TECHNO.),2014,LUXEUIL LES BAINS,BESANCON,PU,89,88,94,92,94,96
LYCEE ARNAUT DANIEL,2014,RIBERAC,BORDEAUX,PU,100,94,85,92,93,93
LYCEE ST ELME,2014,ARCACHON,BORDEAUX,PR,100,100,100,94,96,95
LYCEE JAUFRE RUDEL,2014,BLAYE,BORDEAUX,PU,97,85,94,90,90,91
LYCEE ST JOSEPH DE TIVOLI,2014,BORDEAUX,BORDEAUX,PR,100,100,100,95,97,98
LYCEE DE LA MER (GENERAL ET TECHNO.),2014,GUJAN MESTRAS,BORDEAUX,PU,,,89,,,95
LYCEE NOTRE DAME LA COMPASSION,2014,MARMANDE,BORDEAUX,PR,100,63,93,,,94
LYCEE STE CATHERINE,2014,VILLENEUVE SUR LOT,BORDEAUX,PR,67,100,100,,74,92
LYCEE LOUIS DE FOIX,2014,BAYONNE,BORDEAUX,PU,,88,98,,92,94
EXTERNAT DE LA TRINITE,2014,LYON 06,LYON,PR,100,91,92,92,95,92
LYCEE CHEVREUL,2014,LYON 07,LYON,PR,100,96,98,95,96,96
LYCEE PIERRE TERMIER,2014,LYON 08,LYON,PR,83,83,96,,94,94
LYCEE   (GENERAL ET TECHNO.),2014,MAURIAC,CLERMONT-FERRAND,PU,83,90,92,95,95,94
LYCEE DE HAUTE AUVERGNE (GENERAL ET TECHNO.),2014,SAINT-FLOUR,CLERMONT-FERRAND,PU,67,97,97,95,93,97
LYCEE NOTRE DAME DU CHATEAU,2014,MONISTROL SUR LOIRE,CLERMONT-FERRAND,PR,100,93,100,97,91,96
LYCEE JEAN-BAPTISTE VATELOT,2014,TOUL,NANCY-METZ,PR,,88,50,,90,84
LYCEE JACQUES CALLOT,2014,VANDOEUVRE LES NANCY,NANCY-METZ,PU,90,79,94,92,90,93
LYCEE ST CAPRAIS,2015,AGEN,BORDEAUX,PR,100,96,95,,94,92
INSTITUT LEMONNIER,2015,CAEN,CAEN,PR,,,75,,,85
LYCEE TEYSSIER,2014,BITCHE,NANCY-METZ,PU,95,98,97,92,91,96
LYCEE CHARLES FRANCOIS LEBRUN,2015,COUTANCES,CAEN,PU,87,89,95,94,94,96
LYCEE JEAN GUEHENNO (GENERAL ET TECHNO.),2015,FLERS,CAEN,PU,96,94,91,93,95,92
LYCEE JEAN-BAPTISTE COLBERT,2014,THIONVILLE,NANCY-METZ,PU,,93,96,,77,83
LYCEE CAMPUS SAINTE THERESE,2015,OZOIR LA FERRIERE,CRETEIL,PR,100,98,100,97,98,98
LYCEE FRANCOISE CABRINI,2015,NOISY LE GRAND,CRETEIL,PR,100,100,97,97,98,96
LYCEE AUGUSTE ET JEAN RENOIR,2014,ANGERS,NANTES,PU,95,98,98,97,94,97
LYCEE MARX DORMOY (GENERAL ET TECHNO.),2015,CHAMPIGNY SUR MARNE,CRETEIL,PU,100,96,85,94,85,85
LYCEE FERNAND RENAUDEAU (GENERAL ET TECHNO.),2014,CHOLET,NANTES,PU,92,92,96,95,92,96
LYCEE MARGUERITE YOURCENAR,2014,LE MANS,NANTES,PU,94,95,94,91,92,95
LYCEE ST MICHEL DES PERRAIS,2014,PARIGNE LE POLIN,NANTES,PR,,92,67,,89,
LYCEE ND DU ROC,2014,LA ROCHE SUR YON,NANTES,PR,89,100,99,95,97,97
LYCEE LES EAUX CLAIRES,2015,GRENOBLE,GRENOBLE,PU,88,94,88,91,94,94
LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.),2014,ERSTEIN,STRASBOURG,PU,100,94,94,97,93,96
LYCEE MELKIOR GARRE (GENERAL ET TECHNO.),2015,CAYENNE,GUYANE,PU,88,78,58,86,79,75
LYCEE RIVE GAUCHE,2014,TOULOUSE,TOULOUSE,PU,92,86,95,93,94,98
LYCEE ANDRE LURCAT (GENERAL ET TECHNO.),2015,MAUBEUGE,LILLE,PU,,83,69,,80,77
LYCEE SAINT MICHEL,2015,SOLESMES,LILLE,PR,100,93,98,90,92,94
LYCEE ROBESPIERRE,2015,ARRAS,LILLE,PU,97,92,94,97,96,96
LYCEE LA SOURCE,2014,MEUDON,VERSAILLES,PR,100,93,100,95,95,94
LYCEE NOTRE DAME,2014,MANTES LA JOLIE,VERSAILLES,PR,100,100,99,97,98,96
LYCEE SAINT JEAN DE GARGUIER,2015,GEMENOS,AIX-MARSEILLE,PR,100,97,91,97,96,95
LYCEE BLAISE PASCAL,2015,LONGUENESSE,LILLE,PU,,,94,,,95
LYCEE CHARLES PEGUY,2015,MARSEILLE 06,AIX-MARSEILLE,PR,,85,,,85,
LYCEE ALPHONSE DAUDET,2015,TARASCON,AIX-MARSEILLE,PU,78,89,88,88,91,89
LYCEE ST JOSEPH,2015,CARPENTRAS,AIX-MARSEILLE,PR,100,82,100,94,92,96
LYCEE ROSA PARKS,2015,MONTGERON,VERSAILLES,PU,92,92,89,85,90,90
LYCEE LA MARTINIERE MONPLAISIR,2015,LYON 08,LYON,PU,,,97,,,96
LYCEE NOTRE-DAME,2015,MEUDON,VERSAILLES,PR,100,100,100,96,99,98
LYCEE L'AGORA,2015,PUTEAUX,VERSAILLES,PU,,89,90,,89,85
LYCEE EUGENE RONCERAY (GENERAL ET TECHNO.),2015,BEZONS,VERSAILLES,PU,80,88,70,,74,65
LYCEE SAINT-JOSEPH (GENERAL ET TECHNO.),2015,SETE,MONTPELLIER,PR,91,100,100,90,99,99
LYCEE HENRI POINCARE,2015,NANCY,NANCY-METZ,PU,97,91,94,95,92,95
LYCEE PAUL LANGEVIN (GENERAL ET TECHNO.),2016,MARTIGUES,AIX-MARSEILLE,PU,81,78,91,89,86,87
LYCEE ISMAEL DAUPHIN,2016,CAVAILLON,AIX-MARSEILLE,PU,90,87,90,92,90,91
LYCEE MAINTENON (GENERAL ET TECHNO.),2016,HYERES,NICE,PR,100,100,97,98,97,97
LYCEE FILIERE BOIS ANDRE MALRAUX (GENERAL ET TECHNO.),2015,REMIREMONT,NANCY-METZ,PU,91,94,92,96,93,95
LYCEE ST JOSEPH,2015,MACHECOUL,NANTES,PR,92,94,98,94,97,96
LYCEE UNIT? SOINS ETUDES GR?SIVAUDAN (GENERAL ET TECHNO.),2016,LA TRONCHE,GRENOBLE,PU,86,100,91,,,
LYCEE SAINT MARC (GENERAL ET TECHNO.),2016,NIVOLAS VERMELLE,GRENOBLE,PR,96,98,99,98,97,96
LYCEE D'AMBOISE,2015,ALBI,TOULOUSE,PR,100,100,100,95,96,97
LYCEE SADI CARNOT - JEAN BERTIN (GENERAL ET TECHNO.),2015,SAUMUR,NANTES,PU,,,100,,,87
LYCEE SAINTE THERESE,2016,AVESNES SUR HELPE,LILLE,PR,100,80,77,,,84
LYCEE ALFRED KASTLER - GUITTON (GENERAL ET TECHNO.),2015,LA ROCHE SUR YON,NANTES,PU,,89,97,,93,96
LYCEE PIERRE ET MARIE CURIE,2015,MENTON,NICE,PU,94,89,90,91,90,93
LYCEE MAINTENON (GENERAL ET TECHNO.),2015,HYERES,NICE,PR,96,100,98,97,98,98
LYCEE JEAN GIRAUDOUX,2015,CHATEAUROUX,ORLEANS-TOURS,PU,91,100,95,94,95,95
LYCEE GRANDMONT,2015,TOURS,ORLEANS-TOURS,PU,95,96,92,96,96,96
LYCEE LE REBOURS,2015,PARIS 13,PARIS,PR,,100,,,94,
LYCEE NOTRE DAME DU GRANDCHAMP,2015,VERSAILLES,VERSAILLES,PR,100,99,100,97,99,98
LYCEE CARNOT,2015,PARIS 17,PARIS,PU,96,99,95,98,97,97
LYCEE MELIZAN,2016,MARSEILLE 11,AIX-MARSEILLE,PR,100,97,99,98,96,97
LYCEE XAVIER MALLET (GENERAL ET TECHNO.),2016,LE TEIL,GRENOBLE,PU,93,95,94,94,90,91
LYCEE DR. GUSTAVE JAUME (GENERAL ET TECHNO.),2016,PIERRELATTE,GRENOBLE,PU,100,92,95,97,93,94
LYCEE MARIE DE CHAMPAGNE (GENERAL ET TECHNO.),2015,TROYES,REIMS,PU,88,97,84,86,91,86
LYCEE PORTES DE L'OISANS (GENERAL ET TECHNO.),2016,VIZILLE,GRENOBLE,PU,100,98,95,95,96,95
LYCEE ALAIN RENE LESAGE,2015,VANNES,RENNES,PU,71,85,95,94,95,96
LYCEE JEAN VILAR,2016,MEAUX,CRETEIL,PU,83,98,85,91,91,86
LYCEE PRIVE AVERROES,2012,LILLE,LILLE,PR,,100,100,,85,89
LYCEE SAINT REMI,2012,ROUBAIX,LILLE,PR,88,92,94,91,95,93
LYCEE RAYMOND SAVIGNAC,2015,VILLEFRANCHE DE ROUERGUE,TOULOUSE,PU,88,91,96,91,94,93
